,experimentVariant,hits
1038,Контрольная,35
1039,Контрольная,142
1040,Контрольная,43
1041,Контрольная,31
1042,Контрольная,29
1043,Контрольная,30
1044,Контрольная,67
1045,Контрольная,36
1046,Контрольная,50
1047,Контрольная,48
1048,Контрольная,30
1049,Контрольная,54
1050,Контрольная,30
1051,Контрольная,165
1052,Контрольная,51
1053,Контрольная,131
1054,Контрольная,131
1055,Контрольная,38
1056,Контрольная,64
1057,Контрольная,28
1058,Контрольная,30
1059,Контрольная,28
1060,Контрольная,65
1061,Контрольная,52
1062,Контрольная,52
1063,Контрольная,33
1064,Контрольная,28
1065,Контрольная,53
1066,Контрольная,31
1067,Контрольная,34
1068,Контрольная,82
1069,Контрольная,27
1070,Контрольная,54
1071,Контрольная,27
1072,Контрольная,40
1073,Контрольная,32
1074,Контрольная,53
1075,Контрольная,27
1076,Контрольная,61
1077,Контрольная,42
1078,Контрольная,62
1079,Контрольная,38
1080,Контрольная,52
1081,Контрольная,26
1082,Контрольная,28
1083,Контрольная,36
1084,Контрольная,49
1085,Контрольная,111
1086,Контрольная,49
1087,Контрольная,44
1088,Контрольная,49
1089,Контрольная,47
1090,Контрольная,51
1091,Контрольная,108
1092,Контрольная,27
1093,Контрольная,29
1094,Контрольная,31
1095,Контрольная,28
1096,Контрольная,36
1097,Контрольная,28
1098,Контрольная,132
1099,Контрольная,59
1100,Контрольная,26
1101,Контрольная,41
1102,Контрольная,36
1103,Контрольная,152
1104,Контрольная,45
1105,Контрольная,39
1106,Контрольная,59
1107,Контрольная,51
1108,Контрольная,154
1109,Контрольная,53
1110,Контрольная,45
1111,Контрольная,33
1112,Контрольная,26
1113,Контрольная,172
1114,Контрольная,31
1115,Контрольная,45
1116,Контрольная,48
1117,Контрольная,42
1118,Контрольная,220
1119,Контрольная,34
1120,Контрольная,34
1121,Контрольная,40
1122,Контрольная,39
1123,Контрольная,80
1124,Контрольная,44
1125,Контрольная,30
1126,Контрольная,43
1127,Контрольная,69
1128,Контрольная,56
1129,Контрольная,35
1130,Контрольная,38
1131,Контрольная,225
1132,Контрольная,40
1133,Контрольная,30
1134,Контрольная,45
1135,Контрольная,192
1136,Контрольная,30
1137,Контрольная,30
1138,Контрольная,174
1139,Контрольная,46
1140,Контрольная,29
1141,Контрольная,171
1142,Контрольная,45
1143,Контрольная,41
1144,Контрольная,40
1145,Контрольная,42
1146,Контрольная,163
1147,Контрольная,31
1148,Контрольная,141
1149,Контрольная,39
1150,Контрольная,41
1151,Контрольная,52
1152,Контрольная,27
1153,Контрольная,46
1154,Контрольная,56
1155,Контрольная,27
1156,Контрольная,53
1157,Контрольная,26
1158,Контрольная,36
1159,Контрольная,44
1160,Контрольная,42
1161,Контрольная,171
1162,Контрольная,34
1163,Контрольная,47
1164,Контрольная,42
1165,Контрольная,32
1166,Контрольная,64
1167,Контрольная,64
1168,Контрольная,62
1169,Контрольная,51
1170,Контрольная,91
1171,Контрольная,54
1172,Контрольная,154
1173,Контрольная,37
1174,Контрольная,28
1175,Контрольная,39
1176,Контрольная,119
1177,Контрольная,28
1178,Контрольная,26
1179,Контрольная,34
1180,Контрольная,92
1181,Контрольная,44
1182,Контрольная,32
1183,Контрольная,36
1184,Контрольная,131
1185,Контрольная,128
1186,Контрольная,36
1187,Контрольная,73
1188,Контрольная,40
1189,Контрольная,115
1190,Контрольная,32
1191,Контрольная,28
1192,Контрольная,119
1193,Контрольная,211
1194,Контрольная,45
1195,Контрольная,36
1196,Контрольная,32
1197,Контрольная,31
1198,Контрольная,42
1199,Контрольная,85
1200,Контрольная,201
1201,Контрольная,70
1202,Контрольная,57
1203,Контрольная,27
1204,Контрольная,31
1205,Контрольная,34
1206,Контрольная,29
1207,Контрольная,53
1208,Контрольная,29
1209,Контрольная,49
1210,Контрольная,66
1211,Контрольная,26
1212,Контрольная,26
1213,Контрольная,124
1214,Контрольная,33
1215,Контрольная,36
1216,Контрольная,49
1217,Контрольная,28
1218,Контрольная,39
1219,Контрольная,48
1220,Контрольная,30
1221,Контрольная,46
1222,Контрольная,36
1223,Контрольная,32
1224,Контрольная,52
1225,Контрольная,32
1226,Контрольная,26
1227,Контрольная,30
1228,Контрольная,53
1229,Контрольная,130
1230,Контрольная,140
1231,Контрольная,102
1232,Контрольная,27
1233,Контрольная,48
1234,Контрольная,282
1235,Контрольная,167
1236,Контрольная,44
1237,Контрольная,45
1238,Контрольная,49
1239,Контрольная,29
1240,Контрольная,26
1241,Контрольная,32
1242,Контрольная,84
1243,Контрольная,28
1244,Контрольная,44
1245,Контрольная,49
1246,Контрольная,53
1247,Контрольная,28
1248,Контрольная,26
1249,Контрольная,26
1250,Контрольная,53
1251,Контрольная,26
1252,Контрольная,46
1253,Контрольная,33
1254,Контрольная,392
1255,Контрольная,112
1256,Контрольная,29
1257,Контрольная,47
1258,Контрольная,33
1259,Контрольная,173
1260,Контрольная,33
1261,Контрольная,29
1262,Контрольная,30
1263,Контрольная,143
1264,Контрольная,52
1265,Контрольная,29
1266,Контрольная,28
1267,Контрольная,48
1268,Контрольная,139
1269,Контрольная,28
1270,Контрольная,39
1271,Контрольная,36
1272,Контрольная,26
1273,Контрольная,80
1274,Контрольная,30
1275,Контрольная,125
1276,Контрольная,79
1277,Контрольная,40
1278,Контрольная,131
1279,Контрольная,47
1280,Контрольная,43
